# format: artist|title|album|year|listen_url
# Scraped from 17 playlists - 578 songs
SHISHAMO|中庭の少女たち|Love Girls cause I'm a Girl||https://open.spotify.com/track/1YrU8ExqF04ygegVoOOoFU
Ho - Kago Tea Time|Singing!|Love Girls cause I'm a Girl||https://open.spotify.com/track/5ftfX6pKdedXPrbLXYPl0B
Twenty One Pilots|House of Gold|idk frfr||https://open.spotify.com/track/36tghkPg1AO4HsAzo6YpPp
Cage The Elephant|Trouble|idk frfr||https://open.spotify.com/track/5n0CTysih20NYdT2S0Wpe8
Hozier|Jackie And Wilson|idk frfr||https://open.spotify.com/track/5xo1Gj4WTssjQgQ0w03cf2
Wallows|Scrawny|idk frfr||https://open.spotify.com/track/1pNUmVxDiE8t6P1XxcZAv8
Paramore|Hard Times|idk frfr||https://open.spotify.com/track/0w5Bdu51Ka25Pf3hojsKHh
Arctic Monkeys|Brianstorm|idk frfr||https://open.spotify.com/track/7f9I5WdyXm5q1XqnSYgQZb
Red Hot Chili Peppers|By the Way|idk frfr||https://open.spotify.com/track/1f2V8U1BiWaC9aJWmpOARe
Red Hot Chili Peppers|Snow (Hey Oh)|idk frfr||https://open.spotify.com/track/2aibwv5hGXSgw7Yru8IYTO
The Drums|Money|idk frfr||https://open.spotify.com/track/3VIJBrMpvimHEw5wtPh2wB
boy pablo|Feeling Lonely|idk frfr||https://open.spotify.com/track/5uIRujGRZv5t4fGKkUTv4n
alt-J|Breezeblocks|idk frfr||https://open.spotify.com/track/3n69hLUdIsSa1WlRmjMZlW
Twenty One Pilots|Tear in My Heart|idk frfr||https://open.spotify.com/track/3bnVBN67NBEzedqQuWrpP4
Two Door Cinema Club|What You Know|idk frfr||https://open.spotify.com/track/3GBApU0NuzH4hKZq4NOSdA
Cage The Elephant|Cold Cold Cold|idk frfr||https://open.spotify.com/track/1Q3t9fWvHUXKsMmpD2XpUu
Wallows|Pleaser|idk frfr||https://open.spotify.com/track/11zf7m4vw9Ze7cer9Nyhk1
Young the Giant|Silvertongue|idk frfr||https://open.spotify.com/track/0yTJtxZJ5VLfBEHhiNUNeY
The Jungle Giants|She's a Riot|idk frfr||https://open.spotify.com/track/4xy9nsO8EX4OR0c6lf0WFu
Cage The Elephant|Cigarette Daydreams|idk frfr||https://open.spotify.com/track/2tznHmp70DxMyr2XhWLOW0
Cage The Elephant|Spiderhead|idk frfr||https://open.spotify.com/track/5r5Lj2MkgwQJz6TaBdL865
GROUPLOVE|Raspberry|idk frfr||https://open.spotify.com/track/1F5A4LpF8ylUVtPoMAvNvn
